strata.names,population
Al Jabal Al Gharbi_IDP,1704
Aljfara_IDP,3120
Aljufra_IDP,187
Alkufra_IDP,1025
Azzawya_IDP,2173
Benghazi_IDP,5068
Derna_IDP,226
Ejdabia_IDP,2672
Ghat_IDP,1627
Misrata_IDP,4793
Murzuq_IDP,892
Sebha_IDP,2542
Sirt_IDP,1640
Tripoli_IDP,7248
Ubari_IDP,659
Wadi Ashshati_IDP,239
Zwara_IDP,1271
Al Jabal Al Gharbi_Non displaced,25922
Aljfara_Non displaced,62351
Aljufra_Non displaced,5750
Alkufra_Non displaced,7045
Azzawya_Non displaced,57590
Benghazi_Non displaced,104864
Derna_Non displaced,33941
Ejdabia_Non displaced,31145
Ghat_Non displaced,3576
Misrata_Non displaced,62214
Murzuq_Non displaced,7821
Sebha_Non displaced,20521
Sirt_Non displaced,15005
Tripoli_Non displaced,162867
Ubari_Non displaced,15420
Wadi Ashshati_Non displaced,9369
Zwara_Non displaced,57672
Al Jabal Al Gharbi_Returnee,2170
Aljfara_Returnee,1006
Alkufra_Returnee,207
Azzawya_Returnee,89
Benghazi_Returnee,36010
Derna_Returnee,7454
Ghat_Returnee,196
Misrata_Returnee,1357
Murzuq_Returnee,77
Sebha_Returnee,384
Sirt_Returnee,12090
Tripoli_Returnee,9914
Wadi Ashshati_Returnee,42
Zwara_Returnee,2585
Ubari_Returnee,5587
Ejdabia_Returnee,100
