shape,admin2Name_en,admin2Name_ar,admin2Pcode,admin1Name_en,admin1Name_ar,admin1Pcode,admin0Name_en,admin0Name_ar,admin0Pcode,Shape_Length,Shape_Area
Polygon,Derna,œ—‰Â,LY0101,East,«·‘—ﬁ,LY01,Libya,·Ì»Ì«,LY,6.349797,2.019833
Polygon,Almarj,«·„—Ã,LY0102,East,«·‘—ﬁ,LY01,Libya,·Ì»Ì«,LY,4.982965,1.00911
Polygon,Benghazi,»‰€«“Ì,LY0103,East,«·‘—ﬁ,LY01,Libya,·Ì»Ì«,LY,4.782989,1.289607
Polygon,Tobruk,ÿ»—ﬁ,LY0104,East,«·‘—ﬁ,LY01,Libya,·Ì»Ì«,LY,12.662406,7.475419
Polygon,Ejdabia,«Ãœ«»Ì«,LY0105,East,«·‘—ﬁ,LY01,Libya,·Ì»Ì«,LY,20.561881,18.253353
Polygon,Al Jabal Al Akhdar,«·Ã»· «·«Œ÷—,LY0106,East,«·‘—ﬁ,LY01,Libya,·Ì»Ì«,LY,4.932729,0.824469
Polygon,Alkufra,«·ﬂ›—…,LY0107,East,«·‘—ﬁ,LY01,Libya,·Ì»Ì«,LY,24.844918,37.308208
Polygon,Sirt,”— ,LY0208,West,«·€—»,LY02,Libya,·Ì»Ì«,LY,12.360929,7.077881
Polygon,Nalut,‰«·Ê ,LY0209,West,«·€—»,LY02,Libya,·Ì»Ì«,LY,10.97101,6.107281
Polygon,Almargeb,«·„—ﬁ»,LY0210,West,«·€—»,LY02,Libya,·Ì»Ì«,LY,3.723977,0.651941
Polygon,Tripoli,ÿ—«»·”,LY0211,West,«·€—»,LY02,Libya,·Ì»Ì«,LY,1.621975,0.081051
Polygon,Aljfara,«·Ã›«—…,LY0212,West,«·€—»,LY02,Libya,·Ì»Ì«,LY,2.410444,0.256009
Polygon,Azzawya,«·“«ÊÌ…,LY0213,West,«·€—»,LY02,Libya,·Ì»Ì«,LY,2.455842,0.265173
Polygon,Misrata,„’—« Â,LY0214,West,«·€—»,LY02,Libya,·Ì»Ì«,LY,7.85242,2.775233
Polygon,Zwara,“Ê«—…,LY0215,West,«·€—»,LY02,Libya,·Ì»Ì«,LY,3.932941,0.583485
Polygon,Al Jabal Al Gharbi,«·Ã»· «·€—»Ì,LY0216,West,«·€—»,LY02,Libya,·Ì»Ì«,LY,12.161273,7.204467
Polygon,Aljufra,«·Ã›—…,LY0317,South,«·Ã‰Ê»,LY03,Libya,·Ì»Ì«,LY,15.768255,10.631409
Polygon,Wadi Ashshati,Ê«œÏ «·‘«ÿ∆,LY0318,South,«·Ã‰Ê»,LY03,Libya,·Ì»Ì«,LY,15.33498,9.322748
Polygon,Sebha,”»Â«,LY0319,South,«·Ã‰Ê»,LY03,Libya,·Ì»Ì«,LY,6.411056,1.56802
Polygon,Ubari,«Ê»«—Ì,LY0320,South,«·Ã‰Ê»,LY03,Libya,·Ì»Ì«,LY,7.419544,2.931573
Polygon,Murzuq,„—“ﬁ,LY0322,South,«·Ã‰Ê»,LY03,Libya,·Ì»Ì«,LY,23.441481,25.037766
Polygon,Ghat,€« ,LY0321,South,«·Ã‰Ê»,LY03,Libya,·Ì»Ì«,LY,9.91882,4.567486
